KodePelabuhan,NamaPelabuhan,LokasiPelabuhan,UnitKerja,AlamatKantor
MUI,Matui,HALMAHERA BARAT,KUPP KELAS III JAILOLO,Jl. Pelabuhan jailolo Kab. Halmahera Barat; Maluku Utara 97752
MUO,Muntok,BANGKA BARAT,KSOP KELAS IV MUNTOK,Jl. Yos Sudarso No. 1 Muntok Bangka Belitung 33311
NAB,Teminabuan,SORONG SELATAN,KUPP KELAS III TAMINABUAN,Jl. Pelabuhan Teminibuan Kab. Sorang Selatan Papua Barat
NAM,Namlea,BURU,KUPP KELAS II NAMLEA,Jl.Dermaga Pelabuhan Namlea Kabupaten Buru Maluku 97571
NBX,Nabire,NABIRE,KUPP KELAS II NABIRE,Jl. Pintu Masuk Pelabuhan No. 1 Nabire Papua 98851
NDA,Banda Naira,MALUKU TENGAH,KSOP KELAS IV BANDA NAIRA,Jl.Pelabuhan Banda Naira Kab Maluku Tengah 97543
NGG,Anggrek,GORONTALO UTARA,UPP KELAS II ANGGREK,Jl. Pelabuhan Anggrek Desa Ilangara Kec. Anggrek Kab. Gorontalo Utara 96252
NIG,Ngalipaeng,KEPULAUAN SANGIHE,KUPP KELAS II TAHUNA,Jl.Pelabuhan Tahuna No.1 Kab .Kepl.Sangihe Tahuna Sulawesi Utara 95851
NIP,Nipah Panjang,TANJUNG JABUNG TIMUR,KUPP KELAS III NIPAH PANJANG,Jl. Pelabuhan No. 1 Kec. Nipah Panjang Kab. Tanjung Jabung Timur Jambi 36571
NIU,Naikliu,KUPANG,KUPP KELAS II ATAPUPU,Jl. Pelabuhan No. 1 Atapupu Nusa Tenggara Timur
NOO,Ndao,ROTENDAO,KUPP KELAS III BAA,Jl. Pelabuhan No. 1 Ba'a - Rote NTT
NPA,Papela,ROTENDAO,KUPP KELAS III BAA,Jl. Pelabuhan No. 1 Ba'a - Rote NTT
NPE,Nusa Penida (Toyapakeh),KLUNGKUNG,KUPP KELAS II NUSA PENIDA,Jl. Desa Ped Kec. Nusa Peninda Kab. Klungkung - Bali
NRE,Namrole,BURU SELATAN,KUPP KELAS III NAMROLE,Jl. Komp. Pelabuhan Leksula; Kec. Leksula Kab. Buru Selatan - Ambon Maluku 97573
NTI,Bintuni,TELUK BINTUNI,KUPP KELAS II BINTUNI,Jl. Raya Umum Bintuni Manokwari Papua Barat 98364
NUN,Nunbaun Sabu (Namosain),KUPANG,KUPP KELAS II ATAPUPU,Jl. Pelabuhan No. 1 Atapupu Nusa Tenggara Timur
ONG,Poopongan,MAMUJU,KUPP KELAS I MAMUJU,Jl. Yos Sudarso No. 2 Mamuju Kab. Mamuju Sulbar 91511
ONN,Oswald Siahaan/Labuhan Angin,TAPANULI TENGAH,KUPP KELAS III BARUS,Jl. Yos Sudarso No. 02 Kel. Pasar Batu Grigis Barus; Kab. Tapanuli Tengah Sumatera Utara 22564
ONR,Kataloka/Ondor,SERAM BAGIAN TIMUR,KUPP KELAS III GESER,Jl. Pelabuhan Geser; Seram Bagian Timur- Maluku 97594
OOS,Ogoamas,DONGGALA,UPP KELAS III OGOAMAS,Jl. Pelabuhan No. 7 Kec. Sojol Utara Kab. Donggala Sulteng
OPI,Oepoli,KUPANG,KUPP KELAS II ATAPUPU,Jl. Pelabuhan No. 1 Atapupu Nusa Tenggara Timur
ORA,Oransbari,MANOKWARI,KUPP KELAS III ORANSBARI,Jl. Pelabuhan Oransbari Papua Barat
PAB,P. Sabutung,BONE,KUPP KELAS II MACCINI BAJI,Jl. Pelabuhan BiringKasie Pengkeb Sulsel 90651
PAE,Palue,SIKA,KSOP KELAS IV LAURENTIUS SAY/MAUMERE,Jl. R. E Marthadinata No. 7 Maumere - Nusa Tenggara Timur 86113
PAH,Paloh/Sakura,SAMBAS,KUPP KELAS III PALOH/SAKURA,Jl. Komp. Pelabuhan Merbau Paloh Kab. Sambas Laimantan Barat 79466
PAR,Para,KEPULAUAN SANGIHE,KUPP KELAS II TAHUNA,Jl.Pelabuhan Tahuna No.1 Kab .Kepl.Sangihe Tahuna Sulawesi Utara 95851
PAZ,Pasuruan,PASURUAN,KSOP KELAS V PASURUAN,Jl. Yos Sudarso No. 158 Pasuruan Jatim 67126
PBI,Padang Bai,KARANG ASEM,KSOP KELAS IV PADANG BAI,Jl. Didalam Areal Pelabuhan Penyebrangan Padangbai; Bali 80872
PCE,Pantai Cermin,SERDANG BEDAGAI,KUPP KELAS III PANTAI CERMIN,Jl. HT Rizal Nudin No.465 Pantai Cermin 20987 Telp/Fax 061-7970102 Email : upppantaicermin@dephub.go.id
PCI,Pacitan,PACITAN,UPP KELAS III BRONDONG,Jl. Pelabuhan No. 1 Sedayulawas Kec. Brondong Lamongan; Jawa Timur - 662814
PDD,Pangkalan Dodek,BATU BARA,KUPP KELAS III PANGKALAN DODEK,Jl. Pelabuhan Desa Nenas Siau Batubara; Suamtera Utara 21258 Telp/Fax. 0622-5892962; 5892970 Email : kanpelpangkalandodek@yahoo.co.id / upppangkalandodek@dephub.go.id
PDE,Pulau Ende,ENDE,KSOP KELAS IV ENDE,Jl. Adi Sucipto Ippi Ende NTT 86316
PDR,Pangandaran,SUKABUMI,KUPP KELAS III PANGANDARAN,INDRAMAYU
PEA,Petta,KEPULAUAN SANGIHE,KUPP KELAS II TAHUNA,Jl.Pelabuhan Tahuna No.1 Kab .Kepl.Sangihe Tahuna Sulawesi Utara 95851
PEE,Pehe,SITARO,KUPP KELAS III ULU SIAU,Jl. Komp. Pelabuhan Ulu Siau Kel. Tatahadeng Kec. Siau Timur Kep. Tagulandang; Biaro Sultra 95861
PEI,Polewali,POLEWALI MANDAR,KUPP KELAS II SILOPO,Jl. Bahari I No. 1 Polewali Sulbar 91311
PEL,Pelita,HALMAHERA SELATAN,KUPP KELAS II LABUHA/BABANG,Jl.Pelabuhan No. 25 Desa Babang Kec. Bacan Timur 97791
PES,P. Sebesi,LAMPUNG SELATAN,KUPP KELAS III TELUK BETUNG,BANDAR LAMPUNG
PEX,Pekalongan,PEKALONGAN,KUPP KELAS II PEKALONGAN,KOTA PEKALONGAN
PGB,P. Gebe,HALMAHERA TIMUR,KUPP KELAS III PULAU GEBE/WEDA,Jl. Pulau Fao Kec. Pilau Gebe Kab. Halmahera Tengah Komp. Pelabuhan Gebe; Malut
PGM,Pagimana,BANGGAI,KUPP KELAS III PAGIMANA,Jl. Pelabuhan No. 1 Kc. Pagimana Kab. Banggai- Sulteng 94752
PGX,Pangkal Balam,KOTA PANGKAL PINANG,KSOP KELAS IV PANGKAL BALAM,-
PHI,Pelaihari/Swarangan,TANAH LAUT,KUPP KELAS III KINTAP,Jl. Batu Anting Desa Kintap Kecil Kec. Kintap Kab. Tanah Laut; Kalsel - 70883
PIN,Panipahan,ROKAN HILIR,KUPP KELAS III PANIPAHAN,BENGKALIS
PIO,Pattirobajo,BONE,KUPP KELAS III PATTIROBAJO,Jl. Pelabuhan No. 1 Kec. Sibulue Kab. Bone Sulsel 92781
PJM,Jampea,KEPULAUAN SELAYAR,KUPP KELAS III JAMPEA,Jl. Pelabuhan No. 1 Benteng Jampea Sulsel
PJN,Pekajang,LINGGA,KUPP KELAS III DABO SINGKEP,DABO SINGKEP - KEPULAUAN RIAU
PKA,Pulau Kampai,LANGKAT,KUPP KELAS III PULAU KAMPAI,LANGKAT - SUMATERA UTARA
PKR,Pangkalan Brandan,LANGKAT,KSOP KELAS IV PANGKALAN SUSU,Jl. Pelabuhan No. 05 Pangkalan Susu Langkat Sumatera Utara 20858
PKS,Pangkalan Susu,LANGKAT,KSOP KELAS IV PANGKALAN SUSU,Jl. Pelabuhan No. 05 Pangkalan Susu Langkat Sumatera Utara 20858
PLB,Pangkalan Bun,KOTAWARINGIN BARAT,KSOP KELAS IV PANGKALAN BUN,Jl. Pangeran Antasari Komp. Pelabuhan Pangkalan Bun Kalimantan Tengah
PLH,Paleleh,BUOL,UPP KELAS III LEOK,Jl. Syarif Mansyur No. 356 Kel. Leok 1 Kec. Biau Kab. Buol Sulteng 94563
PLI,Palipi,MAJENE,KUPP KELAS III MAJENE,Jl. Ammana Wewang No. 21 Kab. Majene Sulbar 91411
PLY,Pulau Kayoa,HALMAHERA SELATAN,KUPP KELAS III SOA-SIU,Jl. Yos Sudarso Kel. Indonesiana Kota Tidore Kepulauan 97813
PMI,Pegatan Mendawai,KATINGAN,KSOP KELAS V PEGATAN MENDAWAI,Jl. Merdeka No 2 Pegatan Mendawai Klateng 74463
PMK,Pomako,MIMIKA,KUPP KELAS II POMAKO I/POMAKO II,Jl. Komp. Pelabuhan Pomako Timika Papua 99910
PMN,Pamanukan/Blanakan,SUBANG,KUPP KELAS III PELABUHAN PAMANUKAN,PAMANUKAN
PNI,Paniti,HALMAHERA TENGAH,KUPP KELAS III PULAU GEBE/WEDA,Jl. Pulau Fao Kec. Pilau Gebe Kab. Halmahera Tengah Komp. Pelabuhan Gebe; Malut
PNJ,Panjang,BANDAR LAMPUNG,KSOP KELAS I PANJANG,Jl. Yos Sudarso No. 34A Panjang Bandar Lampung; Lampung 35241
PNK,Pontianak,PONTIANAK,KSOP KELAS II PONTIANAK,Jl. Rahadi Usman No. 2 Pontianak Kalimantan Barat
POA,Pota,MANGGARAI TIMUR,KUPP KELAS II REO,Jl. Pelabuhan Reo Kec. Reo Kab. Manggarai Kediri; Nusa Tenggara Timur - 86592
POJ,Palopo/Tg. Ringgit,KOTA PALOPO,KUPP KELAS II PALOPO,LUWU
POW,Pulau Owi,BIAK NUMFOR,KSOP KELAS III BIAK,Jl.Jendral Sudirman No. 53 Biak Papua 98115
PPE,Pasipalele,HALMAHERA SELATAN,KUPP KELAS II LABUHA/BABANG,Jl.Pelabuhan No. 25 Desa Babang Kec. Bacan Timur 97791
PPI,Popolii,TOJO UNA-UNA,KUPP KELAS III AMPANA,Jl. Yos Sudarso No. 25 Ampana Sulteng 94683
PPM,Pam,RAJA AMPAT,KUPP KELAS II RAJA AMPAT,Jl. Trikora No. 19 Saonek Kab. Raja Ampat Prov. Papua Barat
PPS,Pulang Pisau,PULANG PISAU,KSOP KELAS IV PULANG PISAU,Jl. Samudera No. 137 Rt. XIII Pulang Pisau Kalimantan Tengah 73561
PQR,Pekanbaru,KOTA PEKANBARU,KSOP KELAS III PEKANBARU,Jl. Kampung Dalam I Rt.01/05 Pekanbaru - Riau 28152
PRA,Palabuhanratu,SUKABUMI,KUPP KELAS III PELABUHAN RATU,SUKABUMI
PRI,Parigi,PARIGI MOUTONG,KUPP KELAS III PARIGI,Jl. Pelabuhan Parigi No. 92 Kec. Parigi Kab. Donggala Parigi Palu Sulteng 94371
PRJ,Pigaraja,HALMAHERA SELATAN,KUPP KELAS II LABUHA/BABANG,Jl.Pelabuhan No. 25 Desa Babang Kec. Bacan Timur 97791
PRN,Panarukan,SITUBONDO,KSOP KELAS IV PANARUKAN,Jl. Pelabuhan No.1 Panurukan; Jatim - 68351
PSJ,Poso,POSO,KUPP KELAS III POSO,Jl. Pattimura No 3 Poso Sulawesi Tengah 94616
PSN,Pasean,PAMEKASAN,KUPP KELAS III TELAGA BIRU,Jl. Pelabuhan No. 54 Telagabiru Bangkalan Jawa Timur 69156
PTA,Teluk Air / Padang Tikar,KUBU RAYA,KSOP KELAS III PADANG TIKAR,Jl. Pelabuhan No. 1 Kec. Batu Amper Kab. Kubu Raya Pontianak Kalimantan Barat 78385
PTB,Pulau Tabuan,TANGGAMUS,KUPP KELAS III KOTA AGUNG,LAMPUNG SELATAN
PTE,Pulau Tello,NIAS SELATAN,KUPP KELAS III PULAU TELLO,PULAU TELLO - NIAS SELATAN
PTI,Patani,HALMAHERA TENGAH,KUPP KELAS III PULAU GEBE/WEDA,Jl. Pulau Fao Kec. Pilau Gebe Kab. Halmahera Tengah Komp. Pelabuhan Gebe; Malut
PTK,Parit Rempak,KEPULAUAN RIAU,KSOP KELAS I TANJUNG BALAI KARIMUN,-
PTL,Pantoloan,KOTA PALU,KSOP KELAS II TELUK PALUXXXXX,Jl. Mutiara No.4 Donggala
PTM,Patimban,SUBANG,KUPP KELAS III PELABUHAN PAMANUKAN,PAMANUKAN
PTT,Pamatata,KEPULAUAN SELAYAR,UPP KELAS III SELAYAR,Jl. Pelabuhan No. 1 anteng Selayar Sulsel 92812
PUA,Pulau Salura,SUMBA TIMUR,KSOP KELAS IV WAINGAPU,Jl. Nangamesi No. 11 Waingapu Nusa Tenggara Timur 87110
PUN,Pulau Seluan,NATUNA,KUPP KELAS II TAREMPA,PASIR PANJANG - KEPULAUAN RIAU
PYH,Gita Payahe,KOTA TIDORE KEPULAUAN,KUPP KELAS III SOA-SIU,Jl. Yos Sudarso Kel. Indonesiana Kota Tidore Kepulauan 97813
RAM,Tanjung Tiram/Batubara,BATU BARA,KUPP TANJUNG TIRAM,ASAHAN
RAQ,Raha,MUNA,KUPP KELAS II RAHA,Jl. Pelabuhan No. 1 Raha Sulawesi Tenggara 93611
RAS,P. Raas,SUMENEP,KUPP KELAS III SAPUDI,Jl. Pelabuhan No. 1 Gawam Sapudi Kab. Sumenep Madura Jawa Timur 69483
RBG,Rembang,REMBANG,KUPP KELAS III PELABUHAN REMBANG,REMBANG
RCI,Rengat/Kuala Cinaku,INDRAGIRI HULU,KSOP KELAS IV RENGAT/KUALA CINAKU,Jl. Ahmad Yani No. 10 Rengat Inhu - Riau 29319 Telp. 0769-323355; Fax. 0769-323466 ksoprengat@dephub.go.id
REO,Reo,MANGGARAI,KUPP KELAS II REO,Jl. Pelabuhan Reo Kec. Reo Kab. Manggarai Kediri; Nusa Tenggara Timur - 86592
RGG,Rangga Ilung,BARITO SELATAN,KSOP KELAS IV KUMAI,Jl. Bendahara No. 230 Kumai Kab. Kotawaringin Barat - Kalteng 74181
RIA,Raijua,SABU RAIJUA,KUPP KELAS III SEBA,Jl. Pelabuhan No. 01 Kec.Sabu Barat Kab.Seburaijua Seba Nusa Tenggara Timur
RIG,Riung,NGADA,KUPP KELAS III MARAPOKOT,Jl. Pelabuhan Marapokot No. 01 Marapokot Nusa Tenggara Timur 86472
RIS,Rainis,KEPULAUAN TALAUD,KUPP KELAS III MELONGUANE,Jl Komp. Pelabuhan Lirung Kec. Lirung Kab. Talaud; Lirung Sulawesi Utara 95871
RMG,Hila/Romang,MALUKU BARAT DAYA,UPP KELAS III WONRELI,Jl. Pelabuhan Wonreli Maluku 97653
RNE,Sluke,REMBANG,KUPP KELAS III PELABUHAN REMBANG,REMBANG
RNI,Ranai,NATUNA,KUPP KELAS II TAREMPA,PASIR PANJANG - KEPULAUAN RIAU
RSK,Ransiki,MANOKWARI,KUPP KELAS III ORANSBARI,Jl. Pelabuhan Oransbari Papua Barat
RUH,Saparua/Haria,MALUKU TENGAH,KUPP KELAS II TULEHU,Jl.Pelabuhan Hurmala Tulehu Maluku 97582
SAA,Sukamara,SUKAMARA,KSOP KELAS IV SUKAMARA,Jl. Pelabuhan No. 14 Sukamara Kalimantan Tengah 74172
SAG,Sampang,SAMPANG,UPP KELAS II BRANTA,Jl. Pelabuhan Branta No. 1; Tlanakan Pamekasan - 69371
SAI,P. Sailus,PANGKAJENE KEPULAUAN,KUPP KELAS II MACCINI BAJI,Jl. Pelabuhan BiringKasie Pengkeb Sulsel 90651
SAL,Salakan,BANGGAI KEPULAUAN,KUPP KELAS II BANGGAI,Jl. Komp. Pelabuhan Banggai Kab. Banggai Kepulauan Sulteng 94791
SAP,Sape,BIMA,KUPP KELAS III SAPE,Jl. Pelabuhan Niaga No. 1 Sape Bima Kab. Bima Nusa Tenggara Barat
SBD,Sibadeh,ACEH SELATAN,KUPP KELAS III TAPAK TUAN,ACEH SELATAN
SBE,Sei Berombang,LABUAN BATU,KUPP KELAS III SEI BEROMBANG,Jl. Syahbandar No. 86 Sei Barombong Sumatera Utara 21473
SBG,Sabang,KOTA SABANG,KSOP KELAS IV SABANG,Jl. Malahayati No. 82 Sabang NAD 23512 Telp. 0652-21016; Fax. 0652-21017 Email : adpelsabang@yahoo.co.id / ksopsabang@dephub.go.id
SBO,Sibigo,SIMEULUE,KUPP KELAS III SINABANG,Jl. Naional No. 212 Sinabang NAD 23691
SDI,Sadai,BANGKA SELATAN,KUPP KELAS III TOBOALI,BANGKA
SDQ,Tanjung Sidupa,GORONTALO UTARA,KUPP KELAS III LABUHAN UKI/INEBONTO,Jl. Pelabuhan No. 128 Desa Labuhan Uki Kec. Loka Kab. Bolaang Mongondow Sulut 95761
SDU,Sedanau,NATUNA,KUPP KELAS II TAREMPA,PASIR PANJANG - KEPULAUAN RIAU
SEG,Serongga,BARU,KUPP KELAS III TANJUNG BATU,Jl. Pangeran Arga Kusuma No. 2 Kec. Kelumpang Tengah Kab. Kotabaru Tanjung Batu; Kalsel - 72164
SEI,Sebuku,BARU,KUPP KELAS III SEBUKU,Jl. Raya Batulicin RT.010/002 Batu Licin Tanah Bumbu; Kalsel - 72171
SEL,Sebalang,LAMPUNG SELATAN,KUPP KELAS III TELUK BETUNG,BANDAR LAMPUNG
SEO,Sepo,HALMAHERA TENGAH,KUPP KELAS III PULAU GEBE/WEDA,Jl. Pulau Fao Kec. Pilau Gebe Kab. Halmahera Tengah Komp. Pelabuhan Gebe; Malut
SEQ,Sungai Pakning,BENGKALIS,KSOP KELAS III SUNGAI PAKNING,bengkalis
SET,Seget,SORONG,KUPP KELAS III TAMINABUAN,Jl. Pelabuhan Teminibuan Kab. Sorang Selatan Papua Barat
SFI,Sofifi,KOTA TIDORE KEPULAUAN,KUPP KELAS III SOA-SIU,Jl. Yos Sudarso Kel. Indonesiana Kota Tidore Kepulauan 97813
SGG,Sungsang,BANYUASIN,KSOP KELAS II PALEMBANG,Banyuasin-Sumatera Selatan
SGQ,Sangatta,KUTAI TIMUR,KUPP KELAS II SANGATTA,Jl. Pelabuhan No ;6 Sangatta .Kab .Kutai Timur Kaliamntan Timur 75612
SII,Sigli,PIDIE,KSOP KELAS IV MALAHAYATI,Jl. Patimura No. 89 Kel. Sukaramai Blower; Banda Aceh Telp/Fax. 0651-48555 Email : adpelmalahayati@yahoo.com / ksopmalahayati@dephub.go.id
SIK,Sikakap,KEPULAUAN MENTAWAI,KUPP KELAS III SIKAKAP,MENTAWAI
SIO,Soasio/Goto,KOTA TIDORE KEPULAUAN,KUPP KELAS III SOA-SIU,Jl. Yos Sudarso Kel. Indonesiana Kota Tidore Kepulauan 97813
SIUB,Siuban,KEPULAUAN MENTAWAI,KUPP KELAS III SIUBAN,MENTAWAI
SJI,Sinjai/Larea-rea,SINJAI,KUPP KELAS III SINJAI,Jl. Halim Perdana Kusuma Sinjai Sulsel 92614
SKA,Saketa,HALMAHERA SELATAN,KUPP KELAS II LABUHA/BABANG,Jl.Pelabuhan No. 25 Desa Babang Kec. Bacan Timur 97791
SKB,Pokai,KEPULAUAN MENTAWAI,KUPP KELAS III MUARA SIBERUT,Kepulauan Mentawai-Sumatera Barat
SKE,Sunda Kelapa,JAKARTA UTARA,KSOP KELAS III SUNDA KELAPA,Jl. Raya Baruna No. 2 Pelabuhan Sunda Kelapa Jakarta Utara 14430
SKI,Sangkulirang,KUTAI TIMUR,KUPP KELAS III SANGKULIRANG,Jl. Pelabuhan No. 20 Sankulirang Kaltim 75384
SKJ,Sei Kolak Kijang,KOTA TANJUNG PINANG,KSOP KELAS III KIJANG,Jl. Pelabuhan Sri Bayintan No. 9 Kijang - Kepri 29151 Telp. 0771-463765; Fax. 0771-61561 ksopkijang@dephub.go.id
SKL,Sikeli,BOMBANA,KUPP KELAS I BAU-BAU,Jl. Yos Sudarso No. 5 Kel. Wale Kec. Wolio Kota Baubau Provinsi Sultra 93711
SKM,Saukorem,MANOKWARI,KSOP KELAS IV MANOKWARI,Jl.Banjarmasin No 6 Monokwari Papua Barat 98311
SKW,Singkawang,SAMBAS,KSOP KELAS IV SINTETE/ PEMANGKAT,Jl. Pelabuhan No. 1 Sintete Pemangkat Prov. Kalimantan Barat 79453
SLG,Sibolga,KOTA SIBOLGA,KSOP KELAS IV SIBOLGA,Jl. Horas Pelabuhan Sibolga; Sibolga Sumatera Utara 22532
SLJ,Selat Panjang,PULAU MERANTI,KSOP KELAS IV SELAT PANJANG,Jl. Pelabuhan No. 2 Selat Panjang Riau 28753
SLU,Sungai Lumpur,OGAN KOMERING ILIR,KUPP KELAS III SUNGAI LUMPUR,OGAN KOMERING ILIR
SMA,Samuda,KOTAWARINGIN TIMUR,KSOP KELAS V SAMUDA,Jl. H.M. Noor No .5 Rt.01/Rw.01 Samuda Kalimantan Tengah 74363
SME,Subaim,HALMAHERA TIMUR,KUPP KELAS III BULI,Jl;. Pelabuhan Buli Kec. Maba Kab. Halmahera Malut
SMQ,Sampit,KOTAWARINGIN TIMUR,KSOP KELAS III SAMPIT,Jl. Iskandar No. 3 Sampit Kota Waringin Timur Kalimantan Tengah 74322
SMU,Pulau Sambu,KOTA BATAM,KSOP KELAS III PULAU SAMBU,-
SNE,Sintete,SAMBAS,KSOP KELAS IV SINTETE/ PEMANGKAT,Jl. Pelabuhan No. 1 Sintete Pemangkat Prov. Kalimantan Barat 79453
SNG,Sinabang,SIMEULUE,KUPP KELAS III SINABANG,Jl. Naional No. 212 Sinabang NAD 23691
SNI,Sinaboi,ROKAN HILIR,KUPP KELAS III SINABOI,BENGKALIS
SNL,Singkil,ACEH SINGKIL,KUPP KELAS III SINGKIL,Jl. Utama No. 20 Pulo Sarok Singkil; Kab. Aceh Singkil 24785
SNP,Branta,PAMEKASAN,UPP KELAS II BRANTA,Jl. Pelabuhan Branta No. 1; Tlanakan Pamekasan - 69371
SNYK,Sungai Nyamuk/Sebatik,,KUPP KELAS III SUNGAI NYAMUK,Jl. Dermaga Sungai Nyamuk No. 1 Kec. Sebatik Kab. Nunukan 77483
SOK,Saonek,RAJA AMPAT,KUPP KELAS II RAJA AMPAT,Jl. Trikora No. 19 Saonek Kab. Raja Ampat Prov. Papua Barat
SOQ,Sorong,SORONG,KSOP KELAS I SORONG,Jl.Jendral A; Yani No 19 Sorong Papua Barat 98413
SOU,Siompu,BUTON,KUPP KELAS I BAU-BAU,Jl. Yos Sudarso No. 5 Kel. Wale Kec. Wolio Kota Baubau Provinsi Sultra 93711
SPK,P. Sapuka,PANGKAJENE KEPULAUAN,KUPP KELAS II MACCINI BAJI,Jl. Pelabuhan BiringKasie Pengkeb Sulsel 90651
SPN,Sapeken,SUMENEP,KUPP KELAS III PELABUHAN SAPEKEN,Jl. Pelabuhan No. 01 Sapeken Suminto; Madura Jatim
SQN,Sanana,KEPULAUAN SULA,KUPP KELAS II SANANA,Jl.Komplek Pelabuhan Sanana Maluku Utara 97795
SQQ,Tanjung Selor Kayu / Kayan I,,KUPP KELAS II TANJUNG SELOR,Jl. Jend Sudirman Rt.VIII No. 16 Tanjung Selor Kalimantan Utara 77212
SRG,Tanjung Emas,SEMARANG,KSOP KELAS I TANJUNG EMAS SEMARANG,Jl. Yos Sudarso No. 30 Kel. Tanjung Emas Kec. Semarang Jateng 50174 Telp/Fax. 024-3852335 ksoptanjungemas@dephub.go.id
SRI,Samarinda,KOTA SAMARINDA,KSOP KELAS II SAMARINDA,Jl. Yos Sudarso No. 2 Samarinda Kalimantan Timur 75113
SRS,Serasan,NATUNA,KUPP KELAS II TAREMPA,PASIR PANJANG - KEPULAUAN RIAU
SRU,Sirombu,NIAS BARAT,KUPP KELAS III SIROMBU,SIROMBU - NIAS BARAT
SRX,Seira,MALUKU TENGGARA BARAT,KUPP KELAS II SAUMLAKI,Jl.Pelabuhan Saumlaki Kec. Tanibar Selatan Kab. Saumlaki Maluku 97762
SSR,Sausapor,TAMBRAUW,KUPP KELAS II RAJA AMPAT,Jl. Trikora No. 19 Saonek Kab. Raja Ampat Prov. Papua Barat
STA,Selat Lampa,NATUNA,KUPP KELAS II TAREMPA,PASIR PANJANG - KEPULAUAN RIAU
SUB,Tanjung Perak,KOTA SURABAYA,KANTOR SYAHBANDAR UTAMA TANJUNG PERAK SURABAYA,Jl. Kalimas Baru No. 194 Surabaya Jawa Timur 60165
SUI,Subi,NATUNA,KUPP KELAS II TAREMPA,PASIR PANJANG - KEPULAUAN RIAU
SUQ,Sungai Guntung,INDRAGIRI HILIR,KUPP KELAS III SUNGAI GUNTUNG,INDRAGIRI HILIR
SUR,Satui/Batu licin,TANAH BUMBU,KUPP KELAS III SEI DANAU/SATUI,Jl. Kuripan No. 5 Rt.24Sungai Danau Satui Kab. Tanah Bumbu Sungai Danau Satui; Kalsel 72175
SUS,Susoh,ACEH BARAT DAYA,KUPP KELAS III SUSOH,Jl. Datuk Digaduang No.167 Susoh; Nanggroe Aceh Darussalam 23765
SWA,Siwa/Bangsalae,WAJO,KUPP KELAS III SIWA,Jl. Pelabuhan No. 1 Kec. Pitumpanua Kab. Wajo Siwa Sulsel 90992
SWG,Sawang,SITARO,KUPP KELAS III ULU SIAU,Jl. Komp. Pelabuhan Ulu Siau Kel. Tatahadeng Kec. Siau Timur Kep. Tagulandang; Biaro Sultra 95861
SWU,Serwaru,MALUKU BARAT DAYA,UPP KELAS III WONRELI,Jl. Pelabuhan Wonreli Maluku 97653
SXK,Saumlaki,MALUKU TENGGARA BARAT,KUPP KELAS II SAUMLAKI,Jl.Pelabuhan Saumlaki Kec. Tanibar Selatan Kab. Saumlaki Maluku 97762
SYG,Senayang,LINGGA,KUPP KELAS III SENAYANG,SENAYANG - KEPULAUAN RIAU
SYP,Sesayap,,KSOP KELAS III TARAKAN,Jl. Yos Sudarso No. 8 Lingkas Ujug Tarakan Kalimantan Utara 77126
TAA,Tilamuta,BOALEMO,UPP KELAS III TILAMUTA,Jl. Pelabuhan No. 106 Kec. Tilamuta Kab. Boalemo Gorontalo 96263
TAG,Kota Agung,TANGGAMUS,KUPP KELAS III KOTA AGUNG,LAMPUNG SELATAN
TAI,Tanjung Satai,KAYONG UTARA,KUPP KELAS III TELUK MELANO,Jl. Gusti Aplos No. 93 Rt.8/Rw;III Kalbar 78853
TBD,Tanjung Batu Kundur,KARIMUN,KUPP KELAS II TANJUNG BATU KUNDUR,Jl. Pemuda No. 21 Tanjung Batu Kota Kec. Kundur; Kab. Karimun Kepulauan Riau 29662 Telp. 0779-21020; Fax. 0779-21001 upptanjungbatukundur@dephub.go.id
TBE,Tanjung Beringin,SERDANG BEDAGAI,KUPP KELAS II TANJUNG BERINGIN,ASAHAN
TBG,Teluk Betung,BANDAR LAMPUNG,KUPP KELAS III TELUK BETUNG,BANDAR LAMPUNG
TBL,Toboali,BANGKA SELATAN,KUPP KELAS III TOBOALI,BANGKA
TBO,Tobelo,HALMAHERA UTARA,KUPP KELAS I TOBELO,Jl. Pelabuhan No.1 Tobelo Kab. Halmahera Utara Prov. Maluku Utara
TBY,Teluk Bayur,KOTA PADANG,KSOP KELAS II TELUK BAYUR,Jl. Tanjung Priok No. 4 Teluk Bayur Sumatera Barat 25217
TDA,Teluk Dalam,NIAS SELATAN,KUPP KELAS III TELUK DALAM NIAS,NIAS SELATAN
TEE,Tabarfane,KAB. TUAL,KUPP KELAS II DOBO,Jl.Pelabuhan No. 3 Dobo Maluku 97662
TEG,Tegal,TEGAL,KSOP KELAS IV TEGAL,-
TEI,Ternate,KOTA TERNATE,KSOP KELAS II TERNATE,Jl. Jend. Ahmad Yani Kompleks Pelabuhan Ahmad Yani Ternate Maluku Utara 97724
TEK,Parlimbungan Ketek,MANDAILING NATAL,KUPP KELAS III BATAHAN,Mandailing Natal-Sumatera Utara
TFE,Tifure,KOTA TERNATE,KUPP KELAS III SOA-SIU,Jl. Yos Sudarso Kel. Indonesiana Kota Tidore Kepulauan 97813
TFG,Teluk Tapang,PASAMAN BARAT,KSOP KELAS II TELUK BAYUR,Jl. Tanjung Priok No. 4 Teluk Bayur Sumatera Barat 25217
